ORIGIN ID,ORIGIN CODE,ORIGIN NAME,ORIGIN COUNTRY CODE,ORIGIN LATITUDE,ORIGIN LONGITUDE,DESTINATION ID,DESTINATION CODE,DESTINATION NAME,DESTINATION COUNTRY CODE,DESTINATION LATITUDE,DESTINATION LONGITUDE,PRODUCT ID,PRODUCT CODE,PRODUCT NAME,PRODUCT CATEGORY,PRODUCT TYPE,TYPE OF LEG,VEHICLE MODEL ID,TIME PERIOD,QUANTITY,WEIGHT MOVED,TRANSPORTATION COST,TARIFF COST,DUTY COST,IN-TRANSIT INVENTORY COST,TOTAL LEAD TIME
GDEUML_TUG,GDEUML_TUG,EU WH,,54.526,15.255,GDEUML_1_TUG,GDEUML_1_TUG,EU WH,,54.526,15.255,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,W-R,40_Feet_Container,10-2021,3622.0,26.653,46.643,0.0,0.0,198.99132214842004,1.0
L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,,6.9531,80.2056,L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,,22.3304,91.8326,TUG_CKW_CAROUSEL_COTTON_MBF,,,,RAW_MATERIAL,S-F,40_Feet_Container,06-2021,63592.306633961,101.748,178.058,0.0,0.0,1214.6130567086554,31.0
L2_88_TEEJAY_TUG,L2_88_TEEJAY_TUG,TEEJAY_SOUTH INDIA,,28.613889,77.208889,L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,6.9344,79.8428,TUG_CKW_CAROUSEL_COTTON_MBF,,,,RAW_MATERIAL,S-F,40_Feet_Container,04-2021,4477.038469799,7.163,12.536,0.0,0.0,85.51143477316093,31.0
L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,,22.3304,91.8326,W06_TUG,W06_TUG,Canada WH,,45.4215,-75.697,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,F-W,40_Feet_Container,04-2021,1066960.0,7851.425,485479.759,0.0,0.0,95649.0835180142,65.0
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,,-35.2809,149.13,DC_JV_Australia_Australia_1_TUG,DC_JV_Australia_Australia_1_TUG,AUS WH,,-35.2809,149.13,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,W-R,40_Feet_Container,06-2021,133448.0,982.002,1718.504,0.0,0.0,3987.709285356514,1.0
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,,-35.2809,149.13,DC_JV_Australia_Australia_1_TUG,DC_JV_Australia_Australia_1_TUG,AUS WH,,-35.2809,149.13,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,W-R,40_Feet_Container,07-2021,2900.0,21.34,37.345,0.0,0.0,86.65815094669004,1.0
L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,,6.9531,80.2056,L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,,22.3304,91.8326,TUG_CKW_CAROUSEL_COTTON_MBF,,,,RAW_MATERIAL,S-F,40_Feet_Container,01-2021,311721.074139144,498.754,872.819,0.0,0.0,5953.872516057652,31.0
DC_99949_CHINA_TUG,DC_99949_CHINA_TUG,CHINA WH,,35.8617,104.19,DC_99949_CHINA_1_TUG,DC_99949_CHINA_1_TUG,CHINA WH,,35.8617,104.19,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,W-R,40_Feet_Container,07-2021,14703.0,108.195,189.341,0.0,0.0,439.3568252997185,1.0
DC_99970_HONG_KONG_TUG,DC_99970_HONG_KONG_TUG,HK WH,,22.3193,114.16,DC_99970_HONG_KONG_1_TUG,DC_99970_HONG_KONG_1_TUG,HK WH,,22.3193,114.16,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,W-R,40_Feet_Container,06-2021,809.0,5.953,10.418,0.0,0.0,24.17463590202491,1.0
L2_88_TEEJAY_TUG,L2_88_TEEJAY_TUG,TEEJAY_SOUTH INDIA,,28.613889,77.208889,L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,,22.3304,91.8326,TUG_CKW_CAROUSEL_COTTON_TRIM,,,,RAW_MATERIAL,S-F,40_Feet_Container,05-2021,104.85,0.168,0.294,0.0,0.0,0.241155,31.0
