LOCATION ID,LOCATION CODE,LOCATION NAME,LOCATION TYPE,PRODUCT ID,PRODUCT CODE,PRODUCT NAME,PRODUCT CATEGORY,PRODUCT TYPE,TIME PERIOD,QUANTITY,WEIGHT MOVED,VOLUME MOVED,CAPACITY
W06_TUG,W06_TUG,Canada WH,WAREHOUSE,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,08-2021,153015.0,0.0,0.0,0.0
L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,FACTORY,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,09-2021,698180.0,0.0,0.0,0.0
W06_TUG,W06_TUG,Canada WH,WAREHOUSE,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,05-2021,9540.0,0.0,0.0,0.0
W46_TUG,W46_TUG,US WH,WAREHOUSE,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,05-2021,4076.0,0.0,0.0,0.0
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,FACTORY,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,09-2021,11943.0,0.0,0.0,0.0
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,FACTORY,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,04-2021,49276.0,0.0,0.0,0.0
GDEUML_TUG,GDEUML_TUG,EU WH,WAREHOUSE,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,10-2021,3622.0,0.0,0.0,0.0
L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,FACTORY,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,07-2021,2097.0,0.0,0.0,0.0
GDEUML_TUG,GDEUML_TUG,EU WH,WAREHOUSE,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,04-2021,233937.0,0.0,0.0,0.0
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,FACTORY,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,05-2021,4096.0,0.0,0.0,0.0
DC_JV_Baseco_Mexico_TUG,DC_JV_Baseco_Mexico_TUG,MEX WH,WAREHOUSE,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,09-2021,50880.0,0.0,0.0,0.0
L2_88_TEEJAY_TUG,L2_88_TEEJAY_TUG,TEEJAY_SOUTH INDIA,SUPPLIER,TUG_CKW_CAROUSEL_COTTON_MBF,,,,RAW_MATERIAL,01-2021,37219.442628297,0.0,0.0,0.0
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,FACTORY,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,03-2021,306507.0,0.0,0.0,0.0
W46_TUG,W46_TUG,US WH,WAREHOUSE,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,08-2021,739024.0,0.0,0.0,0.0
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,WAREHOUSE,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,06-2021,3905.0,0.0,0.0,0.0
GDEUML_TUG,GDEUML_TUG,EU WH,WAREHOUSE,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,07-2021,3407.0,0.0,0.0,0.0
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,WAREHOUSE,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,05-2021,9379.0,0.0,0.0,0.0
W06_TUG,W06_TUG,Canada WH,WAREHOUSE,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,09-2021,2575.0,0.0,0.0,0.0
L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,SUPPLIER,TUG_CKW_CAROUSEL_COTTON_MBF,,,,RAW_MATERIAL,01-2021,311721.074139144,0.0,0.0,0.0
